feature,importance,std
f53,0.01659200000000003,0.0007298876625892419
f58,0.011472000000000027,0.0007437849151468411
f25,0.008944000000000018,0.0005744423382725456
f38,0.006544000000000027,0.0010815100554317524
f54,0.005744000000000027,0.0009396509990416438
f47,0.00491200000000005,0.0008065333223122407
f33,0.004752000000000045,0.0009136826582572268
f13,0.004640000000000033,0.0007470475219154263
f04,0.003840000000000032,0.0007706620530427054
f36,0.00318400000000002,0.0005699684201778026
f11,0.002224000000000026,0.0003609764535256993
f08,0.002000000000000035,0.0002604611295376
f15,0.0015200000000000324,0.0002971868099361117
f41,0.0013600000000000168,0.00032199378875994697
f43,0.0008480000000000376,0.0003203997503120164
f07,0.00081600000000005,0.000374891984443529
f52,0.0007200000000000317,0.00035236344872871327
f57,0.000592000000000048,0.0003359999999999992
f16,0.00032000000000002025,0.00024787093415728605
f10,0.00020800000000001929,0.0001439999999999972
f31,0.0001440000000000441,4.8000000000014706e-05
f30,0.0001280000000000392,6.40000000000196e-05
f22,0.0001280000000000392,6.40000000000196e-05
f06,9.60000000000294e-05,7.83836717690857e-05
f46,8.00000000000356e-05,0.0002701110882581269
f40,8.00000000000245e-05,8.00000000000245e-05
f60,6.40000000000085e-05,0.0002048999755978567
f12,4.80000000000147e-05,7.332121111931589e-05
f21,4.80000000000147e-05,7.332121111931589e-05
f27,3.2000000000032e-05,0.0002658119636133836
f02,3.20000000000209e-05,9.60000000000072e-05
f26,1.6000000000016e-05,8.616263691415577e-05
f35,1.60000000000049e-05,4.8000000000014706e-05
f49,1.60000000000049e-05,4.8000000000014706e-05
f14,1.1102230246251566e-17,7.155417527999035e-05
f05,0.0,0.0
f37,0.0,0.0
f17,0.0,0.0
f01,-1.5999999999982696e-05,8.616263691414133e-05
f18,-1.5999999999993796e-05,4.799999999998139e-05
f51,-1.5999999999993796e-05,4.799999999998139e-05
f28,-1.5999999999993796e-05,4.799999999998139e-05
f20,-3.199999999996539e-05,0.0001197330363767553
f19,-3.199999999997649e-05,9.599999999998499e-05
f03,-3.199999999998759e-05,6.399999999997518e-05
f09,-4.799999999997029e-05,0.00010244998779890839
f55,-6.399999999997518e-05,7.838367176903131e-05
f48,-6.399999999997518e-05,7.838367176903131e-05
f32,-6.399999999997518e-05,7.838367176903131e-05
f39,-7.999999999996898e-05,7.9999999999969e-05
f34,-7.999999999996898e-05,7.9999999999969e-05
f59,-9.599999999995167e-05,0.00014664242223858575
f45,-9.599999999996279e-05,7.838367176903131e-05
f56,-0.0001279999999999726,0.00011973303637675531
f44,-0.00014399999999994417,4.799999999998139e-05
f23,-0.00014399999999994417,4.7999999999981394e-05
f42,-0.00014399999999995528,8.616263691414133e-05
f50,-0.00014399999999997748,0.00019530488985172994
f29,-0.00022399999999996866,0.0002048999755978237
f24,-0.0003199999999999537,0.00015999999999998237
